ID,Coordinates,Date,Hour,Variable,Classification,Description,Picture,,,,,,,,,,,,,,,,,,,
12,POINT Z (-99.14759975 19.43529460 0.000),11/22/2022,15:08:34.186,Physical aspects in poor condition,Vandalized public telephone,,recolección de datos - centro_20221122_150838870.jpg,,,,,,,,,,,,,,,,,,,
13,POINT Z (-99.14683633 19.43676637 0.000),11/22/2022,15:12:41.855,Physical aspects in poor condition,Grafitti,,recolección de datos - centro_20221122_151251836.jpg,,,,,,,,,,,,,,,,,,,
14,POINT Z (-99.14603099 19.43646506 0.000),11/22/2022,15:15:36.071,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
15,POINT Z (-99.14616577 19.43576854 0.000),11/22/2022,15:18:49.232,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
16,POINT Z (-99.14634783 19.43591240 0.000),11/22/2022,15:19:16.058,Physical aspects in poor condition,Graffiti / Empty business,,recolección de datos - centro_20221122_151938088.jpg,,,,,,,,,,,,,,,,,,,
17,POINT Z (-99.14580502 19.43706167 0.000),11/22/2022,15:23:40.333,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
18,POINT Z (-99.14395798 19.43666646 0.000),11/22/2022,15:28:08.559,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
19,POINT Z (-99.14498191 19.43578719 0.000),11/22/2022,15:46:19.691,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
20,POINT Z (-99.14426241 19.43510711 0.000),11/22/2022,15:53:55.147,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
21,POINT Z (-99.14632905 19.43516402 0.000),11/22/2022,16:04:39.569,Positive elements,Map of areas of interest,,,,,,,,,,,,,,,,,,,,,
22,POINT Z (-99.14629553 19.43517256 0.000),11/22/2022,16:05:48.905,Positive elements,tourist information module,,,,,,,,,,,,,,,,,,,,,
23,POINT Z (-99.14805740 19.43524654 0.000),11/22/2022,16:12:28.719,Positive elements,map area,,,,,,,,,,,,,,,,,,,,,
24,POINT Z (-99.14898511 19.43534772 0.000),11/22/2022,16:15:10.286,Obstacles,Permanent,null,recolección de datos - centro_20221122_161519203.jpg,,,,,,,,,,,,,,,,,,,
25,POINT Z (-99.14906289 19.43535436 0.000),11/22/2022,16:15:58.794,Obstacles,Permanent,null,recolección de datos - centro_20221122_161630279.jpg,,,,,,,,,,,,,,,,,,,
26,POINT Z (-99.14981291 19.43506348 0.000),11/22/2022,16:19:17.815,Obstacles,Permanent,null,recolección de datos - centro_20221122_161923397.jpg,,,,,,,,,,,,,,,,,,,
27,POINT Z (-99.14980318 19.43515548 0.000),11/22/2022,16:19:59.644,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
28,POINT Z (-99.14940555 19.43528480 0.000),11/22/2022,16:21:17.169,Obstacles,Permanent,null,recolección de datos - centro_20221122_162121516.jpg,,,,,,,,,,,,,,,,,,,
29,POINT Z (-99.14893717 19.43530282 0.000),11/22/2022,16:21:59.221,Obstacles,Mobile,null,recolección de datos - centro_20221122_162209006.jpg,,,,,,,,,,,,,,,,,,,
30,POINT Z (-99.14901361 19.43490603 0.000),11/23/2022,10:50:21.551,Poor infrastructure,sidewalk in poor condition,,recolección de datos - centro_20221123_105038309.jpg,,,,,,,,,,,,,,,,,,,
31,POINT Z (-99.14900020 19.43485986 0.000),11/23/2022,10:51:14.224,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221123_105122351.jpg,,,,,,,,,,,,,,,,,,,
32,POINT Z (-99.14912827 19.43405742 0.000),11/23/2022,10:52:44.911,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221123_105252732.jpg,,,,,,,,,,,,,,,,,,,
33,POINT Z (-99.14930865 19.43318288 0.000),11/23/2022,10:56:09.056,Obstacles,Permanent,Informal Commerce on walkside,recolección de datos - centro_20221123_112346594.jpg,,,,,,,,,,,,,,,,,,,
34,POINT Z (-99.15052269 19.43351960 0.000),11/23/2022,10:56:56.811,Positive elements,Downtown map tourist,,,,,,,,,,,,,,,,,,,,,
35,POINT Z (-99.15032823 19.43392715 0.000),11/23/2022,10:59:22.707,Positive elements,Poder judicial de la federación,,,,,,,,,,,,,,,,,,,,,
36,POINT Z (-99.15004659 19.43450986 0.000),11/23/2022,11:01:18.286,Physical aspects in poor condition,cover broken,,recolección de datos - centro_20221123_110135458.jpg,,,,,,,,,,,,,,,,,,,
37,POINT Z (-99.14826863 19.43491456 0.000),11/23/2022,11:05:49.758,Obstacles,Permanent,Building,recolección de datos - centro_20221123_110634370.jpg,,,,,,,,,,,,,,,,,,,
38,POINT Z (-99.14845102 19.43351771 0.000),11/23/2022,11:08:35.698,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221123_110841996.jpg,,,,,,,,,,,,,,,,,,,
39,POINT Z (-99.14874606 19.43310352 0.000),11/23/2022,11:09:59.847,Physical aspects in poor condition,narrow sidewalk,,recolección de datos - centro_20221123_111009055.jpg,,,,,,,,,,,,,,,,,,,
40,POINT Z (-99.14899852 19.43448615 0.000),11/23/2022,11:12:50.069,Obstacles,Permanent,Building,recolección de datos - centro_20221123_111306325.jpg,,,,,,,,,,,,,,,,,,,
41,POINT Z (-99.14747100 19.43520987 0.000),11/23/2022,11:16:39.963,Physical aspects in poor condition,Vandalism,,recolección de datos - centro_20221123_111653094.jpg,,,,,,,,,,,,,,,,,,,
42,POINT Z (-99.15045395 19.43324011 0.000),11/23/2022,11:25:51.966,Obstacles,Permanent,Discontinuous pedestrian strip,recolección de datos - centro_20221123_112600167.jpg,,,,,,,,,,,,,,,,,,,
43,POINT Z (-99.14973680 19.43259890 0.000),11/23/2022,11:29:44.615,Physical aspects in poor condition,restricted access,,recolección de datos - centro_20221123_112955086.jpg,,,,,,,,,,,,,,,,,,,
44,POINT Z (-99.14929859 19.43261597 0.000),11/23/2022,11:30:55.597,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221123_113102166.jpg,,,,,,,,,,,,,,,,,,,
45,POINT Z (-99.14934788 19.43266087 0.000),11/23/2022,11:31:29.902,Obstacles,Permanent,Discontinuous pedestrian strip,recolección de datos - centro_20221123_113144369.jpg,,,,,,,,,,,,,,,,,,,
46,POINT Z (-99.14928384 19.43308265 0.000),11/23/2022,11:32:38.271,Obstacles,Permanent,Discontinuous pedestrian strip,recolección de datos - centro_20221123_113247802.jpg,,,,,,,,,,,,,,,,,,,
47,POINT Z (-99.14803091 19.43225205 0.000),11/23/2022,11:38:19.348,Obstacles,Mobile,Informal Commerce on walkside,recolección de datos - centro_20221123_114140854.jpg,,,,,,,,,,,,,,,,,,,
48,POINT Z (-99.14967578 19.43240255 0.000),11/23/2022,11:45:34.774,Physical aspects in poor condition,bad drain cover,,recolección de datos - centro_20221123_114545573.jpg,,,,,,,,,,,,,,,,,,,
49,POINT Z (-99.14974149 19.43243291 0.000),11/23/2022,11:46:11.384,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
50,POINT Z (-99.15085495 19.43253377 0.000),11/23/2022,11:48:21.141,Physical aspects in poor condition,tapas inestables,,recolección de datos - centro_20221123_114833012.jpg,,,,,,,,,,,,,,,,,,,
51,POINT Z (-99.15091295 19.43248729 0.000),11/23/2022,11:49:15.017,Physical aspects in poor condition,grafiti,,recolección de datos - centro_20221123_114924271.jpg,,,,,,,,,,,,,,,,,,,
52,POINT Z (-99.15071044 19.43170191 0.000),11/23/2022,11:51:26.759,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221123_115137296.jpg,,,,,,,,,,,,,,,,,,,
53,POINT Z (-99.14996512 19.43179897 0.000),11/23/2022,11:54:03.148,Obstacles,Permanent,discontinuous pedestrian strip,recolección de datos - centro_20221123_115415414.jpg,,,,,,,,,,,,,,,,,,,
54,POINT Z (-99.14924763 19.43150777 0.000),11/23/2022,11:57:39.609,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221123_115745973.jpg,,,,,,,,,,,,,,,,,,,
55,POINT Z (-99.14904278 19.43148659 0.000),11/23/2022,11:58:18.358,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221123_115828173.jpg,,,,,,,,,,,,,,,,,,,
56,POINT Z (-99.14859384 19.43141545 0.000),11/23/2022,11:59:15.772,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221123_115924261.jpg,,,,,,,,,,,,,,,,,,,
57,POINT Z (-99.14833669 19.43135601 0.000),11/23/2022,12:00:00.915,Physical aspects in poor condition,Vandalism,,recolección de datos - centro_20221123_120008942.jpg,,,,,,,,,,,,,,,,,,,
58,POINT Z (-99.14809126 19.43184766 0.000),11/23/2022,12:01:15.594,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221123_120124441.jpg,,,,,,,,,,,,,,,,,,,
59,POINT Z (-99.14818246 19.43219957 0.000),11/23/2022,12:02:45.326,Obstacles,Permanent,sidewalk remodeling,recolección de datos - centro_20221123_120305143.jpg,,,,,,,,,,,,,,,,,,,
60,POINT Z (-99.14849594 19.43124819 0.000),11/23/2022,12:08:14.546,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221123_120820564.jpg,,,,,,,,,,,,,,,,,,,
61,POINT Z (-99.14910112 19.43138415 0.000),11/23/2022,12:09:40.488,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221123_120954256.jpg,,,,,,,,,,,,,,,,,,,
62,POINT Z (-99.15121872 19.43166238 0.000),11/23/2022,12:13:15.976,Obstacles,Permanent,metallic structure,recolección de datos - centro_20221123_121319045.jpg,,,,,,,,,,,,,,,,,,,
63,POINT Z (-99.15135652 19.43132692 0.000),11/23/2022,12:14:13.218,Obstacles,Mobile,Remodeling work,recolección de datos - centro_20221123_121428386.jpg,,,,,,,,,,,,,,,,,,,
64,POINT Z (-99.15096760 19.43081755 0.000),11/23/2022,12:16:51.611,Physical aspects in poor condition,registro con madera,,recolección de datos - centro_20221123_121655428.jpg,,,,,,,,,,,,,,,,,,,
65,POINT Z (-99.14961107 19.43042011 0.000),11/23/2022,12:23:04.305,Positive elements,Downtown map tourist,,,,,,,,,,,,,,,,,,,,,
66,POINT Z (-99.14926540 19.43038818 0.000),11/23/2022,12:24:32.605,Obstacles,Permanent,discontinuous pedestrian strip,recolección de datos - centro_20221123_122452072.jpg,,,,,,,,,,,,,,,,,,,
67,POINT Z (-99.14802119 19.43077107 0.000),11/23/2022,12:26:46.025,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221123_122652389.jpg,,,,,,,,,,,,,,,,,,,
68,POINT Z (-99.14825488 19.43101074 0.000),11/23/2022,12:28:07.740,Positive elements,Downtown map tourist,,,,,,,,,,,,,,,,,,,,,
69,POINT Z (-99.14821398 19.42999453 0.000),11/23/2022,12:30:26.677,Physical aspects in poor condition,Grafitti,,recolección de datos - centro_20221123_123034269.jpg,,,,,,,,,,,,,,,,,,,
70,POINT Z (-99.14847549 19.43018140 0.000),11/23/2022,12:32:28.251,Obstacles,Permanent,Informal Commerce on walkside,recolección de datos - centro_20221123_123321560.jpg,,,,,,,,,,,,,,,,,,,
71,POINT Z (-99.15029068 19.43044193 0.000),11/23/2022,12:38:34.675,Positive elements,Downtown map tourist,,,,,,,,,,,,,,,,,,,,,
73,POINT Z (-99.15101957 19.43071448 0.000),11/23/2022,12:41:37.390,Obstacles,Permanent,,recolección de datos - centro_20221123_124142785.jpg,,,,,,,,,,,,,,,,,,,
74,POINT Z (-99.15111177 19.43073914 0.000),11/23/2022,12:42:39.170,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221123_124245867.jpg,,,,,,,,,,,,,,,,,,,
75,POINT Z (-99.15180646 19.43024811 0.000),11/23/2022,12:44:33.148,Physical aspects in poor condition,Grafitti y business closed,,recolección de datos - centro_20221123_124448458.jpg,,,,,,,,,,,,,,,,,,,
76,POINT Z (-99.15192716 19.43003342 0.000),11/23/2022,12:45:48.671,Physical aspects in poor condition,Unstable  cover,,recolección de datos - centro_20221123_124551312.jpg,,,,,,,,,,,,,,,,,,,
77,POINT Z (-99.15082444 19.43035024 0.000),11/23/2022,12:49:48.535,Physical aspects in poor condition,Cover broken,,recolección de datos - centro_20221123_124953028.jpg,,,,,,,,,,,,,,,,,,,
78,POINT Z (-99.15087070 19.42961575 0.000),11/23/2022,12:54:08.099,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
79,POINT Z (-99.15042713 19.42976246 0.000),11/23/2022,12:58:58.785,Positive elements,guia para el visitante,,,,,,,,,,,,,,,,,,,,,
80,POINT Z (-99.15026855 19.42970491 0.000),11/23/2022,13:02:15.628,Obstacles,Permanent,restricted acces,recolección de datos - centro_20221123_130227930.jpg,,,,,,,,,,,,,,,,,,,
81,POINT Z (-99.14895326 19.42770663 0.000),11/23/2022,13:10:21.695,Obstacles,Permanent,restricted acces,recolección de datos - centro_20221123_131036931.jpg,,,,,,,,,,,,,,,,,,,
82,POINT Z (-99.14893918 19.42773508 0.000),11/23/2022,13:10:57.902,Physical aspects in poor condition,tapa sobrepuesta,,recolección de datos - centro_20221123_131111374.jpg,,,,,,,,,,,,,,,,,,,
83,POINT Z (-99.14940353 19.42736736 0.000),11/23/2022,13:12:38.794,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
84,POINT Z (-99.14953429 19.42737495 0.000),11/23/2022,13:13:52.887,Obstacles,Permanent,Informal commerce // Bus stop,recolección de datos - centro_20221123_131418573.jpg,,,,,,,,,,,,,,,,,,,
85,POINT Z (-99.15063903 19.42802692 0.000),11/23/2022,13:16:53.318,Obstacles,Permanent,restricted acces,recolección de datos - centro_20221123_131707943.jpg,,,,,,,,,,,,,,,,,,,
86,POINT Z (-99.15047240 19.42854863 0.000),11/23/2022,13:18:39.589,Positive elements,etiqueta de vigilancia,,,,,,,,,,,,,,,,,,,,,
87,POINT Z (-99.15033493 19.42946904 0.000),11/23/2022,13:20:54.728,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
88,POINT Z (-99.15110037 19.42858025 0.000),11/23/2022,13:24:39.757,Physical aspects in poor condition,fachada trasera con grafitti,,recolección de datos - centro_20221123_132459793.jpg,,,,,,,,,,,,,,,,,,,
89,POINT Z (-99.15119123 19.42825458 0.000),11/23/2022,13:25:51.254,Obstacles,Permanent,uncovered drain,recolección de datos - centro_20221123_132610086.jpg,,,,,,,,,,,,,,,,,,,
90,POINT Z (-99.15120229 19.42820936 0.000),11/23/2022,13:26:51.292,Obstacles,Permanent,low headroom cabling,recolección de datos - centro_20221123_132711138.jpg,,,,,,,,,,,,,,,,,,,
91,POINT Z (-99.15143296 19.42751344 0.000),11/23/2022,13:28:55.658,Obstacles,Mobile,Informal Commerce on walkside,recolección de datos - centro_20221123_140021222.jpg,,,,,,,,,,,,,,,,,,,
92,POINT Z (-99.15115133 19.42822517 0.000),11/23/2022,13:30:54.780,Physical aspects in poor condition,fachada trasera con grafitti,,recolección de datos - centro_20221123_133128727.jpg,,,,,,,,,,,,,,,,,,,
93,POINT Z (-99.15112719 19.42889896 0.000),11/23/2022,13:32:29.651,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221123_133236870.jpg,,,,,,,,,,,,,,,,,,,
94,POINT Z (-99.15098168 19.42927079 0.000),11/23/2022,13:33:10.458,Obstacles,Mobile,Informal Commerce on walkside,,,,,,,,,,,,,,,,,,,,
95,POINT Z (-99.15164016 19.42940106 0.000),11/23/2022,13:34:40.155,Positive elements,Police presence,,,,,,,,,,,,,,,,,,,,,
96,POINT Z (-99.15222120 19.42932328 0.000),11/23/2022,13:36:18.274,Obstacles,Permanent,metallic structure,recolección de datos - centro_20221123_133630780.jpg,,,,,,,,,,,,,,,,,,,
97,POINT Z (-99.15268455 19.42756908 0.000),11/23/2022,13:40:58.398,Positive elements,Police presence,,,,,,,,,,,,,,,,,,,,,
98,POINT Z (-99.15191744 19.42756055 0.000),11/23/2022,13:42:15.974,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221123_134225192.jpg,,,,,,,,,,,,,,,,,,,
99,POINT Z (-99.15100381 19.42746127 0.000),11/23/2022,13:45:08.899,Obstacles,Permanent,Informal Commerce on walkside,recolección de datos - centro_20221123_134529736.jpg,,,,,,,,,,,,,,,,,,,
100,POINT Z (-99.15083818 19.42735092 0.000),11/23/2022,13:45:56.470,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221123_134605300.jpg,,,,,,,,,,,,,,,,,,,
101,POINT Z (-99.15176287 19.42660471 0.000),11/23/2022,13:47:57.527,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221123_134804938.jpg,,,,,,,,,,,,,,,,,,,
102,POINT Z (-99.15240593 19.42648583 0.000),11/23/2022,13:49:17.552,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221123_134927294.jpg,,,,,,,,,,,,,,,,,,,
103,POINT Z (-99.15260140 19.42716342 0.000),11/23/2022,13:52:05.178,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221123_135217874.jpg,,,,,,,,,,,,,,,,,,,
104,POINT Z (-99.15270802 19.42704137 0.000),11/23/2022,13:53:00.436,Obstacles,Permanent,Narrow pedestrian strip,recolección de datos - centro_20221123_135338568.jpg,,,,,,,,,,,,,,,,,,,
105,POINT Z (-99.15354788 19.42605265 0.000),11/23/2022,13:56:57.049,Incivility,grupo drogandose,,,,,,,,,,,,,,,,,,,,,
106,POINT Z (-99.15298797 19.42751186 0.000),11/23/2022,13:57:42.754,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
107,POINT Z (-99.15139139 19.42741858 0.000),11/23/2022,14:00:57.987,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
108,POINT Z (-99.15028062 19.42734744 0.000),11/23/2022,14:07:33.219,Obstacles,Mobile,improperly parked vehicle,recolección de datos - centro_20221123_140809118.jpg,,,,,,,,,,,,,,,,,,,
109,POINT Z (-99.15088613 19.42740372 0.000),11/23/2022,14:09:35.069,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221123_140942409.jpg,,,,,,,,,,,,,,,,,,,
110,POINT Z (-99.15033627 19.42769935 0.000),11/23/2022,14:10:52.418,Positive elements,Map of areas of interest,,,,,,,,,,,,,,,,,,,,,
111,POINT Z (-99.14957620 19.42764782 0.000),11/23/2022,14:12:58.998,Positive elements,placa con sitios de interes,,,,,,,,,,,,,,,,,,,,,
112,POINT Z (-99.14863475 19.42805917 0.000),11/24/2022,11:39:30.518,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
113,POINT Z (-99.14836351 19.42940074 0.000),11/24/2022,11:42:05.233,Positive elements,Signal security,CCTV // Respect for pedestrian,,,,,,,,,,,,,,,,,,,,
114,POINT Z (-99.14833065 19.42960278 0.000),11/24/2022,11:43:48.834,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
115,POINT Z (-99.14705928 19.42877565 0.000),11/24/2022,11:46:51.548,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221124_114703574.jpg,,,,,,,,,,,,,,,,,,,
116,POINT Z (-99.14716724 19.42829789 0.000),11/24/2022,11:48:35.954,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221124_114845000.jpg,,,,,,,,,,,,,,,,,,,
117,POINT Z (-99.14735131 19.42791784 0.000),11/24/2022,11:49:32.226,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221124_114941390.jpg,,,,,,,,,,,,,,,,,,,
118,POINT Z (-99.14822370 19.42744419 0.000),11/24/2022,11:52:51.971,Positive elements,Presence policial,,secretaria de seguridad pÃºblica,,,,,,,,,,,,,,,,,,,
119,POINT Z (-99.14734896 19.42747518 0.000),11/24/2022,11:56:05.045,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221124_115607816.jpg,,,,,,,,,,,,,,,,,,,
120,POINT Z (-99.14704185 19.42887366 0.000),11/24/2022,11:58:31.080,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
121,POINT Z (-99.14618857 19.42926826 0.000),11/24/2022,12:00:27.544,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221124_120031850.jpg,,,,,,,,,,,,,,,,,,,
122,POINT Z (-99.14583653 19.42921767 0.000),11/24/2022,12:01:17.144,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
123,POINT Z (-99.14595891 19.42849330 0.000),11/24/2022,12:02:32.914,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
124,POINT Z (-99.14608028 19.42742807 0.000),11/24/2022,12:04:46.776,Physical aspects in poor condition,Vacant lots,,recolección de datos - centro_20221124_120458953.jpg,,,,,,,,,,,,,,,,,,,
125,POINT Z (-99.14706264 19.42738696 0.000),11/24/2022,12:07:25.747,Poor infrastructure,Discontinuous pedestrian strip,,recolección de datos - centro_20221124_120743943.jpg,,,,,,,,,,,,,,,,,,,
126,POINT Z (-99.14695401 19.42734175 0.000),11/24/2022,12:08:12.176,Poor infrastructure,Discontinuous pedestrian strip,,recolección de datos - centro_20221124_120826945.jpg,,,,,,,,,,,,,,,,,,,
127,POINT Z (-99.14672200 19.42734839 0.000),11/24/2022,12:09:02.107,Physical aspects in poor condition,broken manhole cover,,recolección de datos - centro_20221124_120911928.jpg,,,,,,,,,,,,,,,,,,,
128,POINT Z (-99.14590728 19.42832635 0.000),11/24/2022,12:11:49.572,Physical aspects in poor condition,grafitti,,,,,,,,,,,,,,,,,,,,,
129,POINT Z (-99.14589118 19.42855369 0.000),11/24/2022,12:12:26.012,Poor infrastructure,Discontinuous pedestrian strip,,recolección de datos - centro_20221124_121239428.jpg,,,,,,,,,,,,,,,,,,,
130,POINT Z (-99.14582748 19.42928755 0.000),11/24/2022,12:13:55.783,Poor infrastructure,broken manhole cover,,recolección de datos - centro_20221124_121409884.jpg,,,,,,,,,,,,,,,,,,,
131,POINT Z (-99.14592136 19.42930399 0.000),11/24/2022,12:14:32.826,Poor infrastructure,Manhole cover  inestable,,recolección de datos - centro_20221124_121443829.jpg,,,,,,,,,,,,,,,,,,,
132,POINT Z (-99.14597165 19.42931190 0.000),11/24/2022,12:14:57.133,Poor infrastructure,broken manhole cover,,recolección de datos - centro_20221124_121505615.jpg,,,,,,,,,,,,,,,,,,,
133,POINT Z (-99.14737813 19.42952342 0.000),11/24/2022,12:17:18.425,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
134,POINT Z (-99.14830551 19.42966159 0.000),11/24/2022,12:18:53.610,Poor infrastructure,Discontinuous pedestrian strip,,recolección de datos - centro_20221124_121859739.jpg,,,,,,,,,,,,,,,,,,,
135,POINT Z (-99.14822370 19.43002615 0.000),11/24/2022,12:20:09.973,Physical aspects in poor condition,Abandoned building,,recolección de datos - centro_20221124_122019929.jpg,,,,,,,,,,,,,,,,,,,
136,POINT Z (-99.14803494 19.43011437 0.000),11/24/2022,12:21:13.629,Poor infrastructure,,,recolección de datos - centro_20221124_122117668.jpg,,,,,,,,,,,,,,,,,,,
137,POINT Z (-99.14761283 19.43013808 0.000),11/24/2022,12:23:25.433,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
138,POINT Z (-99.14743781 19.43012701 0.000),11/24/2022,12:25:54.609,Positive elements,map area,,mapa del centro histÃ³rico,,,,,,,,,,,,,,,,,,,
139,POINT Z (-99.14685510 19.42984719 0.000),11/24/2022,12:29:27.114,Poor infrastructure,Discontinuous pedestrian strip,,recolección de datos - centro_20221124_122941648.jpg,,,,,,,,,,,,,,,,,,,
140,POINT Z (-99.14632134 19.42991517 0.000),11/24/2022,12:31:01.254,Poor infrastructure,Discontinuous pedestrian strip,,recolección de datos - centro_20221124_123111968.jpg,,,,,,,,,,,,,,,,,,,
141,POINT Z (-99.14683532 19.43029838 0.000),11/24/2022,12:37:56.159,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
142,POINT Z (-99.14693356 19.43032684 0.000),11/24/2022,12:38:12.283,Incivility,Homelessness,,,,,,,,,,,,,,,,,,,,,
143,POINT Z (-99.14768022 19.43014946 0.000),11/24/2022,12:40:21.409,Poor infrastructure,Manhole cover  inestable,,recolección de datos - centro_20221124_124027078.jpg,,,,,,,,,,,,,,,,,,,
144,POINT Z (-99.14806075 19.43022029 0.000),11/24/2022,12:41:07.988,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221124_124115336.jpg,,,,,,,,,,,,,,,,,,,
145,POINT Z (-99.14799940 19.43118306 0.000),11/24/2022,12:43:29.665,Poor infrastructure,presence of holes,,recolección de datos - centro_20221124_124357146.jpg,,,,,,,,,,,,,,,,,,,
146,POINT Z (-99.14797492 19.43123048 0.000),11/24/2022,12:46:02.663,Physical aspects in poor condition,Abandoned building,,,,,,,,,,,,,,,,,,,,,
147,POINT Z (-99.14678771 19.43037142 0.000),11/24/2022,12:48:28.505,Poor infrastructure,broken manhole cover,,recolección de datos - centro_20221124_124837781.jpg,,,,,,,,,,,,,,,,,,,
148,POINT Z (-99.14665192 19.43080079 0.000),11/24/2022,12:49:29.626,Poor infrastructure,Discontinuous pedestrian strip,,recolección de datos - centro_20221124_124945353.jpg,,,,,,,,,,,,,,,,,,,
149,POINT Z (-99.14592739 19.43025349 0.000),11/24/2022,12:52:58.803,Physical aspects in poor condition,Vacant lots,,recolección de datos - centro_20221124_125308086.jpg,,,,,,,,,,,,,,,,,,,
150,POINT Z (-99.14640382 19.43034075 0.000),11/24/2022,12:54:00.569,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221124_125402905.jpg,,,,,,,,,,,,,,,,,,,
151,POINT Z (-99.14570678 19.43013776 0.000),11/24/2022,12:56:06.853,Poor infrastructure,broken manhole cover,,recolección de datos - centro_20221124_125614265.jpg,,,,,,,,,,,,,,,,,,,
